Date,Product,SKU,Quantity,Unit Type,Price Per Unit ($),Multiplier,Owner,Repository Slug,Username,Actions Workflow,Notes
2023-12-01,Codespaces - Linux,Storage,0.0384,gb-month,0.07,1.0,SH20RAJ,hfupload,SH20RAJ,,
2023-12-01,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,SH20RAJ,UI,SH20RAJ,,
2023-12-01,Codespaces - Linux,Storage,0.0648,gb-month,0.07,1.0,SH20RAJ,nextjslearn,SH20RAJ,,
2023-12-02,Codespaces - Linux,Storage,0.0384,gb-month,0.07,1.0,SH20RAJ,hfupload,SH20RAJ,,
2023-12-02,Codespaces - Linux,Storage,0.0648,gb-month,0.07,1.0,SH20RAJ,nextjslearn,SH20RAJ,,
2023-12-02,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,SH20RAJ,UI,SH20RAJ,,
2023-12-03,Codespaces - Linux,Storage,0.0384,gb-month,0.07,1.0,SH20RAJ,hfupload,SH20RAJ,,
2023-12-03,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,SH20RAJ,UI,SH20RAJ,,
2023-12-03,Codespaces - Linux,Storage,0.0648,gb-month,0.07,1.0,SH20RAJ,nextjslearn,SH20RAJ,,
2023-12-04,Codespaces - Linux,Storage,0.0384,gb-month,0.07,1.0,SH20RAJ,hfupload,SH20RAJ,,
2023-12-04,Codespaces - Linux,Storage,0.0648,gb-month,0.07,1.0,SH20RAJ,nextjslearn,SH20RAJ,,
2023-12-04,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,SH20RAJ,UI,SH20RAJ,,
2023-12-05,Codespaces - Linux,Storage,0.0444,gb-month,0.07,1.0,SH20RAJ,hfupload,SH20RAJ,,
2023-12-05,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,SH20RAJ,UI,SH20RAJ,,
2023-12-05,Codespaces - Linux,Storage,0.0648,gb-month,0.07,1.0,SH20RAJ,nextjslearn,SH20RAJ,,
2023-12-05,Codespaces - Linux,Compute - 2 core,1.0767,hour,0.18,1.0,SH20RAJ,hfupload,SH20RAJ,,
2023-12-06,Codespaces - Linux,Storage,0.0456,gb-month,0.07,1.0,SH20RAJ,hfupload,SH20RAJ,,
2023-12-06,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,SH20RAJ,UI,SH20RAJ,,
